【央视频道】,#genre#
CCTV1,http://171.124.45.162:8899/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://222.135.142.75:3283/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.72.69.8:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://115.217.184.49:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.72.53.250:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.72.59.141:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://101.74.31.175:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://101.74.30.190:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://119.125.134.209:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://110.72.53.250:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.72.69.8:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.124.45.162:8899/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://115.217.184.49:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.72.59.141:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.14.89.243:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://106.111.244.185:60001/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.135.142.75:3283/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.80.17.38:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.74.30.190:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.195.3.176:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.74.31.175:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://115.217.184.49:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://110.80.17.38:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://171.14.89.243:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.179.186.139:888/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://221.2.148.205:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.124.45.162:8899/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.72.69.8:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.72.53.250:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://101.74.30.190:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.135.142.75:3283/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://101.74.31.175:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.72.59.141:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.14.89.243:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.80.17.38:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.74.30.190:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://113.195.3.176:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.74.31.175:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
